id_transaccion,id_origen,id_destino,monto,tipo_canal,timestamp_str,timestamp,monto_acumulado_24h,conteo_transacciones_24h,monto_promedio_24h,sospecha_estructuracion
TX_14457,CLI_1,CLI_166,31733.26,CAJERO_AUTOMATICO,2026-06-24 10:16:05,2026-06-24 10:16:05,31733.26,1,31733.26,0
TX_11733,CLI_1,CLI_339,173986.75,EFECTIVO_VENTANILLA,2026-06-24 11:17:28,2026-06-24 11:17:28,205720.01,2,102860.01,0
TX_3275,CLI_1,CLI_26,61726.07,CAJERO_AUTOMATICO,2026-06-24 11:40:09,2026-06-24 11:40:09,267446.08,3,89148.69,1
TX_4013,CLI_1,CLI_372,109988.45,EFECTIVO_VENTANILLA,2026-06-24 12:43:41,2026-06-24 12:43:41,377434.53,4,94358.63,0
TX_1913,CLI_1,CLI_80,175503.29,EFECTIVO_VENTANILLA,2026-06-24 13:03:03,2026-06-24 13:03:03,552937.82,5,110587.56,0
TX_3072,CLI_1,CLI_325,142810.76,EFECTIVO_VENTANILLA,2026-06-24 14:25:35,2026-06-24 14:25:35,695748.58,6,115958.1,0
TX_11074,CLI_1,CLI_379,95701.76,CAJERO_AUTOMATICO,2026-06-24 15:03:31,2026-06-24 15:03:31,791450.34,7,113064.33,0
TX_11749,CLI_1,CLI_119,12084.53,EFECTIVO_VENTANILLA,2026-06-24 17:14:39,2026-06-24 17:14:39,803534.87,8,100441.86,0
TX_4308,CLI_1,CLI_333,78570.24,CAJERO_AUTOMATICO,2026-06-24 18:23:40,2026-06-24 18:23:40,882105.11,9,98011.68,0
TX_923,CLI_1,CLI_54,88556.61,EFECTIVO_VENTANILLA,2026-06-24 18:23:43,2026-06-24 18:23:43,970661.72,10,97066.17,0
TX_2525,CLI_1,CLI_281,993.09,CAJERO_AUTOMATICO,2026-06-24 18:52:16,2026-06-24 18:52:16,971654.81,11,88332.26,1
TX_7357,CLI_1,CLI_318,101172.39,CAJERO_AUTOMATICO,2026-06-24 19:12:44,2026-06-24 19:12:44,1072827.2,12,89402.27,1
TX_10854,CLI_1,CLI_228,10986.17,EFECTIVO_VENTANILLA,2026-06-24 20:19:35,2026-06-24 20:19:35,1083813.37,13,83370.26,1
TX_3273,CLI_1,CLI_242,172450.74,CAJERO_AUTOMATICO,2026-06-24 20:31:17,2026-06-24 20:31:17,1256264.11,14,89733.15,1
TX_798,CLI_1,CLI_108,111649.91,SPEI,2026-06-24 21:45:07,2026-06-24 21:45:07,1367914.02,15,91194.27,0
TX_14192,CLI_1,CLI_26,117272.43,SPEI,2026-06-24 22:46:57,2026-06-24 22:46:57,1485186.45,16,92824.15,0
TX_9109,CLI_1,CLI_84,53584.17,SPEI,2026-06-24 23:04:45,2026-06-24 23:04:45,1538770.62,17,90515.92,0
TX_3622,CLI_1,CLI_126,78397.82,EFECTIVO_VENTANILLA,2026-06-25 00:01:16,2026-06-25 00:01:16,1617168.44,18,89842.69,1
TX_8830,CLI_1,CLI_106,102435.3,SPEI,2026-06-25 00:38:32,2026-06-25 00:38:32,1719603.74,19,90505.46,0
TX_12927,CLI_1,CLI_185,35063.13,EFECTIVO_VENTANILLA,2026-06-25 01:28:58,2026-06-25 01:28:58,1754666.87,20,87733.34,1
TX_7937,CLI_1,CLI_389,91429.86,SPEI,2026-06-25 02:26:38,2026-06-25 02:26:38,1846096.73,21,87909.37,1
TX_13424,CLI_1,CLI_81,108513.47,SPEI,2026-06-25 02:47:58,2026-06-25 02:47:58,1954610.2,22,88845.92,1
TX_14948,CLI_1,CLI_374,79987.06,CAJERO_AUTOMATICO,2026-06-25 03:11:51,2026-06-25 03:11:51,2034597.26,23,88460.75,1
TX_5297,CLI_1,CLI_290,179144.58,CAJERO_AUTOMATICO,2026-06-25 03:18:00,2026-06-25 03:18:00,2213741.84,24,92239.24,0
TX_3266,CLI_1,CLI_313,118574.68,CAJERO_AUTOMATICO,2026-06-25 04:21:28,2026-06-25 04:21:28,2332316.52,25,93292.66,0
TX_80,CLI_1,CLI_213,92451.76,EFECTIVO_VENTANILLA,2026-06-25 05:00:31,2026-06-25 05:00:31,2424768.28,26,93260.32,0
TX_5023,CLI_1,CLI_333,8418.24,SPEI,2026-06-25 05:02:56,2026-06-25 05:02:56,2433186.52,27,90118.02,0
TX_7624,CLI_1,CLI_298,122849.15,EFECTIVO_VENTANILLA,2026-06-25 06:18:46,2026-06-25 06:18:46,2556035.67,28,91286.99,0
TX_12659,CLI_10,CLI_133,38939.37,SPEI,2026-06-24 10:16:12,2026-06-24 10:16:12,38939.37,1,38939.37,0
TX_8587,CLI_10,CLI_103,94556.5,EFECTIVO_VENTANILLA,2026-06-24 10:28:07,2026-06-24 10:28:07,133495.87,2,66747.94,0
TX_9901,CLI_10,CLI_321,21084.64,EFECTIVO_VENTANILLA,2026-06-24 11:08:33,2026-06-24 11:08:33,154580.51,3,51526.84,1
TX_121,CLI_10,CLI_21,174249.09,EFECTIVO_VENTANILLA,2026-06-24 11:22:15,2026-06-24 11:22:15,328829.6,4,82207.4,1
TX_3368,CLI_10,CLI_269,20835.06,CAJERO_AUTOMATICO,2026-06-24 11:26:59,2026-06-24 11:26:59,349664.66,5,69932.93,1
TX_7596,CLI_10,CLI_340,145200.1,CAJERO_AUTOMATICO,2026-06-24 12:58:05,2026-06-24 12:58:05,494864.76,6,82477.46,1
TX_4463,CLI_10,CLI_31,123978.69,CAJERO_AUTOMATICO,2026-06-24 13:09:34,2026-06-24 13:09:34,618843.45,7,88406.21,1
TX_6536,CLI_10,CLI_110,178878.7,EFECTIVO_VENTANILLA,2026-06-24 13:16:40,2026-06-24 13:16:40,797722.15,8,99715.27,0
